age,education_level,occupation,years_of_experience,hours_per_week,gender,country,industry,salary
22,Bachelor's,Financial Analyst,4.0,37.0,Female,UK,Retail,127338.2
39,PhD,Product Manager,6.6,39.3,Male,Australia,Technology,283760.58
59,Bachelor's,Financial Analyst,23.2,34.0,Male,Germany,Manufacturing,147325.53
49,Master's,HR Specialist,20.1,41.9,Male,Germany,Technology,192431.44
56,High School,Financial Analyst,18.9,44.0,Female,USA,Manufacturing,136016.41
19,Bachelor's,Data Analyst,0.0,46.1,Male,Canada,Healthcare,122918.35
31,Bachelor's,Marketing Manager,0.9,34.2,Female,India,Education,42313.41
37,Bachelor's,Marketing Manager,5.0,44.3,Female,UK,Manufacturing,127010.71
41,Bachelor's,Customer Support,7.3,43.4,Female,UK,Finance,131114.89
30,High School,Sales Executive,5.7,47.0,Male,Canada,Healthcare,88071.0
37,High School,Mechanical Engineer,12.0,47.5,Female,Germany,Education,86520.17
38,PhD,Operations Manager,10.0,43.2,Male,USA,Finance,238396.85
46,High School,HR Specialist,14.5,35.4,Male,UK,Manufacturing,92944.87
49,Master's,Data Analyst,15.2,59.5,Female,UK,Retail,155727.2
27,Master's,Product Manager,9.0,45.3,Female,USA,Manufacturing,171225.79
46,Bachelor's,Data Analyst,15.1,47.7,Female,Australia,Retail,122175.36
37,Bachelor's,Customer Support,7.3,38.4,Male,Germany,Technology,140977.12
33,Bachelor's,Data Analyst,6.4,34.0,Male,USA,Manufacturing,132736.15
37,Bachelor's,Mechanical Engineer,10.4,36.8,Female,Australia,Healthcare,151188.1
37,Bachelor's,Financial Analyst,9.7,44.3,Male,India,Technology,81966.28
31,Master's,Financial Analyst,4.3,46.1,Male,USA,Healthcare,231446.99
44,Bachelor's,Sales Executive,22.8,48.4,Male,UK,Education,119043.86
51,High School,Marketing Manager,19.2,35.3,Female,UK,Healthcare,120485.81
43,Bachelor's,Data Analyst,16.8,28.0,Male,Germany,Finance,130919.92
43,High School,HR Specialist,12.7,42.3,Female,UK,Finance,122422.43
49,Master's,Mechanical Engineer,16.0,46.7,Female,UK,Technology,222472.03
26,PhD,Marketing Manager,1.0,53.1,Male,UK,Manufacturing,188127.74
36,Bachelor's,Product Manager,9.6,44.9,Female,Germany,Retail,118598.03
39,Bachelor's,Data Analyst,10.7,47.2,Female,Australia,Healthcare,178597.68
40,PhD,HR Specialist,17.3,38.4,Male,USA,Retail,172539.61
39,Bachelor's,Operations Manager,7.7,58.2,Female,Canada,Manufacturing,116797.32
53,Master's,Operations Manager,17.2,41.1,Female,UK,Manufacturing,135767.04
38,Master's,Marketing Manager,14.7,45.7,Male,UK,Healthcare,197089.16
19,Bachelor's,Financial Analyst,0.0,36.3,Male,USA,Retail,117752.22
26,Bachelor's,Customer Support,8.0,44.7,Female,Australia,Finance,141193.63
44,High School,HR Specialist,18.3,40.7,Male,USA,Education,80702.93
31,High School,Customer Support,13.0,45.6,Male,India,Healthcare,35295.31
57,Bachelor's,Financial Analyst,18.0,50.2,Female,Australia,Technology,171743.01
37,High School,Software Engineer,7.2,43.3,Male,Australia,Education,84715.82
31,Master's,Data Analyst,1.9,43.7,Male,Germany,Education,95974.29
27,Bachelor's,Operations Manager,3.4,37.4,Male,USA,Healthcare,159075.83
55,Bachelor's,Customer Support,24.0,47.6,Female,Australia,Retail,110649.05
48,High School,Marketing Manager,12.9,59.2,Female,UK,Technology,156639.18
35,Master's,Product Manager,3.6,39.6,Female,UK,Education,166008.14
27,Master's,Product Manager,2.4,46.0,Female,Canada,Finance,170264.19
24,Bachelor's,Software Engineer,1.1,39.3,Other,India,Manufacturing,51733.78
41,Master's,Marketing Manager,15.6,66.8,Female,USA,Retail,189073.15
37,Bachelor's,Data Analyst,8.0,46.8,Other,India,Education,46467.34
25,Bachelor's,HR Specialist,0.0,37.0,Female,Australia,Finance,128802.0
41,Bachelor's,Financial Analyst,10.3,40.7,Female,USA,Retail,152777.33
26,Bachelor's,Customer Support,5.3,50.4,Male,USA,Retail,111166.98
22,High School,Operations Manager,0.9,57.6,Male,Germany,Retail,73731.46
43,Bachelor's,Financial Analyst,13.0,48.8,Male,USA,Retail,161170.83
48,Bachelor's,Marketing Manager,14.4,41.4,Female,Canada,Finance,161827.43
45,Bachelor's,Software Engineer,13.2,55.7,Male,India,Healthcare,70471.28
47,Bachelor's,Data Analyst,15.9,45.4,Male,Australia,Manufacturing,112038.4
30,High School,Product Manager,8.0,37.0,Female,Australia,Finance,157721.77
36,High School,Operations Manager,8.9,43.6,Male,USA,Education,100259.91
39,PhD,HR Specialist,13.5,48.7,Male,India,Finance,92500.25
21,Master's,Customer Support,3.0,44.6,Female,USA,Healthcare,170566.72
35,Bachelor's,Financial Analyst,12.4,49.2,Female,UK,Manufacturing,139653.32
36,Bachelor's,Customer Support,9.5,50.9,Female,Germany,Healthcare,106100.51
28,High School,Software Engineer,0.0,39.6,Female,Australia,Education,82512.69
31,Bachelor's,Operations Manager,13.0,29.0,Male,UK,Education,101513.72
46,Bachelor's,HR Specialist,17.9,48.1,Male,UK,Healthcare,145081.14
30,Bachelor's,HR Specialist,4.9,34.1,Female,UK,Finance,122809.02
53,Bachelor's,Marketing Manager,20.6,42.7,Male,Canada,Finance,184428.92
32,Bachelor's,Software Engineer,9.1,29.3,Other,Canada,Education,113437.97
40,High School,Operations Manager,16.5,44.0,Female,India,Technology,57799.1
27,Bachelor's,Operations Manager,6.4,39.8,Male,Germany,Retail,104581.38
46,Bachelor's,Operations Manager,11.8,46.7,Male,India,Manufacturing,51130.24
43,Master's,Product Manager,9.6,31.5,Male,UK,Retail,152616.99
43,Bachelor's,Customer Support,7.7,44.5,Male,Germany,Finance,125339.18
23,Master's,Software Engineer,0.0,45.1,Male,Germany,Education,132648.72
46,Bachelor's,Customer Support,8.8,33.2,Male,Canada,Manufacturing,94060.94
30,Master's,HR Specialist,6.1,47.1,Female,Canada,Manufacturing,115859.84
24,High School,Data Analyst,2.2,26.4,Female,India,Retail,28901.45
39,Master's,Product Manager,12.0,34.7,Male,Canada,Technology,215663.92
18,High School,Sales Executive,0.0,42.6,Female,Germany,Retail,72033.69
30,Master's,Software Engineer,6.9,43.2,Male,Germany,Education,156212.48
35,Bachelor's,Customer Support,6.9,27.3,Male,India,Retail,35769.71
41,Bachelor's,Marketing Manager,17.1,42.7,Male,India,Education,44479.6
30,High School,Customer Support,7.7,38.5,Female,India,Finance,37355.55
35,Master's,Marketing Manager,9.3,33.8,Female,Australia,Manufacturing,156349.39
40,Master's,HR Specialist,10.5,41.5,Female,Canada,Manufacturing,121642.75
43,Bachelor's,Marketing Manager,12.7,34.5,Female,Germany,Healthcare,137005.44
53,High School,Sales Executive,22.4,31.4,Male,Australia,Healthcare,108893.83
44,Bachelor's,Product Manager,18.5,37.5,Male,Australia,Education,122260.31
41,High School,Marketing Manager,9.0,31.8,Male,Canada,Retail,88648.27
42,Master's,Data Analyst,7.9,31.1,Male,Canada,Education,117019.81
43,Master's,Product Manager,15.5,37.4,Male,Germany,Finance,160461.96
28,Bachelor's,HR Specialist,7.3,45.3,Male,Germany,Manufacturing,115796.83
36,Bachelor's,HR Specialist,7.3,32.5,Male,Canada,Finance,130604.82
18,Bachelor's,Financial Analyst,0.0,46.0,Male,USA,Technology,185337.03
36,PhD,Mechanical Engineer,7.5,59.3,Female,UK,Education,148828.97
51,High School,Mechanical Engineer,22.7,41.8,Male,USA,Healthcare,138134.56
48,High School,Software Engineer,17.3,31.2,Male,UK,Healthcare,114106.75
33,High School,Financial Analyst,5.8,35.7,Male,Canada,Technology,133461.48
47,Bachelor's,Data Analyst,11.5,35.1,Male,USA,Finance,169953.67
47,Bachelor's,Marketing Manager,14.3,53.6,Female,Canada,Finance,194101.86
34,PhD,Product Manager,4.6,40.1,Female,India,Technology,91487.95
32,PhD,Sales Executive,4.0,44.5,Male,Australia,Technology,221489.39
41,Bachelor's,HR Specialist,4.9,31.7,Male,Australia,Education,92259.02
41,Master's,Sales Executive,8.9,38.6,Male,Germany,Manufacturing,118753.04
44,High School,Product Manager,18.7,48.0,Female,Germany,Finance,140988.21
51,Master's,Sales Executive,17.5,52.3,Male,India,Manufacturing,57018.72
45,High School,Customer Support,19.3,47.5,Female,India,Finance,35609.18
41,High School,Customer Support,12.8,41.0,Male,UK,Education,74514.61
29,Master's,Mechanical Engineer,0.0,38.3,Female,Australia,Manufacturing,128185.93
33,Bachelor's,Product Manager,2.8,59.7,Male,India,Retail,50314.17
58,Master's,Data Analyst,24.8,39.5,Male,Australia,Healthcare,187051.37
36,Master's,Financial Analyst,7.2,46.4,Female,Germany,Retail,129640.13
41,High School,Marketing Manager,9.2,48.2,Male,USA,Technology,167099.56
37,High School,Financial Analyst,18.6,44.4,Other,UK,Manufacturing,97291.14
45,Bachelor's,Financial Analyst,20.2,26.8,Female,India,Healthcare,60066.22
48,Master's,HR Specialist,14.2,20.3,Female,Canada,Education,97904.39
33,PhD,Sales Executive,8.1,55.3,Female,Australia,Education,141238.69
28,Master's,Mechanical Engineer,6.2,39.4,Male,India,Education,47390.07
46,PhD,Financial Analyst,11.2,51.3,Male,USA,Manufacturing,221813.6
48,Bachelor's,Data Analyst,23.1,27.9,Female,India,Healthcare,52408.7
38,PhD,Operations Manager,12.1,45.9,Female,Germany,Finance,209992.03
29,Bachelor's,Sales Executive,7.9,42.6,Male,USA,Technology,181885.31
33,Bachelor's,Product Manager,5.3,45.8,Other,Germany,Finance,192253.16
48,Master's,Software Engineer,5.9,35.4,Male,USA,Finance,233202.38
42,Bachelor's,Sales Executive,15.6,47.0,Male,Australia,Retail,131034.66
38,Master's,Software Engineer,9.9,36.8,Male,Canada,Education,126264.87
41,High School,Customer Support,8.2,54.7,Female,India,Technology,45254.49
35,Bachelor's,Operations Manager,5.7,34.2,Female,USA,Healthcare,152936.72
51,PhD,Mechanical Engineer,14.2,52.2,Male,USA,Education,171220.73
25,Master's,Data Analyst,4.0,48.7,Female,India,Healthcare,65081.38
32,Master's,HR Specialist,4.9,58.5,Male,USA,Retail,136040.18
29,PhD,Product Manager,10.1,44.9,Male,Canada,Education,158939.77
41,High School,Marketing Manager,8.4,46.6,Male,Germany,Healthcare,112181.03
41,Master's,Data Analyst,10.3,,Other,India,Retail,52076.03
18,Bachelor's,Sales Executive,0.0,42.6,Male,Canada,Finance,138152.3
35,High School,Customer Support,7.0,35.7,Female,Australia,Technology,108684.46
36,PhD,Sales Executive,13.9,39.5,Male,Australia,Technology,204802.14
46,High School,HR Specialist,12.5,46.1,Female,USA,Healthcare,123655.08
46,High School,Data Analyst,15.4,28.4,Female,Australia,Healthcare,90882.06
51,Bachelor's,Software Engineer,15.0,40.2,Female,UK,Education,125839.16
39,Master's,Marketing Manager,11.8,42.3,Female,Canada,Technology,202146.03
44,High School,Financial Analyst,11.5,28.4,Female,Germany,Healthcare,110748.0
45,Bachelor's,Marketing Manager,10.0,32.4,Other,Germany,Education,90065.91
38,High School,Marketing Manager,14.6,41.5,Female,USA,Manufacturing,105396.61
26,Bachelor's,Marketing Manager,3.6,58.8,Female,Canada,Technology,154689.35
27,Bachelor's,Marketing Manager,7.6,39.9,Female,India,Finance,50446.16
41,Bachelor's,Financial Analyst,11.4,41.2,Male,Canada,Education,109960.31
35,High School,Sales Executive,0.2,31.7,Female,Germany,Education,48822.25
40,Bachelor's,Product Manager,12.2,44.6,Female,UK,Education,140146.26
36,High School,Customer Support,11.7,43.1,Female,USA,Manufacturing,108677.64
35,Bachelor's,Software Engineer,9.0,53.8,Female,Germany,Manufacturing,127488.43
46,Bachelor's,Operations Manager,9.3,43.2,Female,India,Retail,40373.29
29,Bachelor's,Sales Executive,0.0,51.1,Female,Canada,Finance,156047.46
49,Bachelor's,Customer Support,12.3,48.5,Female,Australia,Finance,145682.47
34,Bachelor's,HR Specialist,6.7,,Male,Australia,Retail,98712.71
36,Bachelor's,Operations Manager,1.5,40.6,Female,Australia,Retail,90124.44
48,Bachelor's,Product Manager,13.7,50.9,Female,Canada,Finance,185809.37
28,Bachelor's,Customer Support,0.0,27.4,Female,India,Healthcare,36869.8
53,Master's,Product Manager,20.6,31.9,Female,Germany,Technology,210908.98
28,High School,Data Analyst,3.3,30.7,Male,Australia,Healthcare,114400.28
49,Bachelor's,Data Analyst,10.8,44.2,Female,Canada,Technology,178831.34
37,High School,Sales Executive,4.9,41.2,Male,Australia,Healthcare,104824.74
27,High School,HR Specialist,3.1,46.5,Male,India,Retail,29152.46
44,Bachelor's,Customer Support,11.7,41.1,Male,Australia,Retail,102219.1
37,Bachelor's,Financial Analyst,11.1,47.3,Male,India,Manufacturing,51531.56
25,PhD,Product Manager,0.0,32.1,Female,Germany,Healthcare,190363.76
41,High School,Software Engineer,10.1,34.8,Male,India,Healthcare,50767.19
33,High School,Software Engineer,2.4,46.2,Male,UK,Manufacturing,107231.8
21,Bachelor's,Financial Analyst,3.0,44.5,Male,USA,Retail,132057.19
32,PhD,Sales Executive,6.9,45.0,Female,Australia,Finance,204466.08
65,Bachelor's,Product Manager,18.5,43.9,Female,India,Technology,61275.74
49,Master's,Marketing Manager,14.2,41.1,Other,Canada,Manufacturing,171704.6
49,Master's,Sales Executive,14.7,33.2,Male,Australia,Manufacturing,130605.29
57,Master's,Financial Analyst,18.5,59.9,Female,Canada,Finance,222784.43
50,Bachelor's,Sales Executive,12.5,37.7,Male,USA,Retail,131547.94
43,High School,Mechanical Engineer,15.4,43.4,Female,USA,Finance,145731.4
36,Bachelor's,Financial Analyst,6.0,45.8,Female,Germany,Manufacturing,106090.29
30,Master's,Financial Analyst,7.3,29.1,Male,UK,Education,121397.51
33,High School,Product Manager,4.7,29.7,Female,Germany,Manufacturing,95373.92
21,Bachelor's,Financial Analyst,3.0,46.8,Female,India,Finance,59348.9
40,Bachelor's,Data Analyst,16.2,48.5,Female,Australia,Education,106780.68
26,Master's,Data Analyst,4.3,33.0,Female,India,Healthcare,61710.45
31,High School,Software Engineer,0.3,37.0,Male,Australia,Technology,127700.05
29,High School,Software Engineer,10.0,43.5,Female,Canada,Retail,86493.94
19,PhD,Sales Executive,0.0,44.1,Female,USA,Retail,146485.68
52,High School,Product Manager,20.7,46.4,Male,Canada,Healthcare,127455.65
38,Bachelor's,HR Specialist,10.8,59.9,Other,USA,Manufacturing,139914.2
18,Master's,Sales Executive,0.0,30.5,Male,Canada,Technology,146487.65
50,Master's,Customer Support,14.7,39.0,Female,USA,Retail,159601.1
47,Bachelor's,Mechanical Engineer,20.9,43.1,Male,USA,Retail,133780.66
48,Master's,HR Specialist,17.1,47.9,Male,Germany,Education,110231.84
35,Bachelor's,Financial Analyst,4.5,61.3,Male,UK,Technology,195415.66
38,Master's,Marketing Manager,12.2,28.4,Male,Canada,Finance,177461.17
40,High School,Customer Support,15.4,39.2,Male,Germany,Technology,97596.39
39,Bachelor's,HR Specialist,16.7,43.3,Female,USA,Healthcare,160330.43
41,Bachelor's,Financial Analyst,16.1,44.5,Female,Germany,Retail,118471.37
31,PhD,Customer Support,6.3,43.5,Female,UK,Retail,116359.0
31,Master's,Product Manager,9.0,44.7,Female,Germany,Healthcare,171115.0
41,Bachelor's,Software Engineer,10.0,47.1,Male,Canada,Technology,176235.29
41,High School,Software Engineer,14.0,42.0,Male,Australia,Technology,152451.18
38,High School,Operations Manager,12.3,37.8,Male,Australia,Education,81111.0
59,Bachelor's,Sales Executive,12.9,40.4,Male,UK,Retail,97482.11
42,High School,Financial Analyst,13.5,44.3,Female,UK,Finance,125241.69
22,Bachelor's,Data Analyst,2.5,36.3,Female,India,Education,39632.45
43,PhD,Data Analyst,10.2,,Female,India,Manufacturing,75617.82
42,Bachelor's,Software Engineer,14.1,53.9,Other,India,Education,48064.64
41,Master's,Marketing Manager,15.7,46.9,Male,UK,Manufacturing,162439.54
31,Master's,Mechanical Engineer,2.2,37.1,Male,Germany,Healthcare,156206.24
65,Bachelor's,Sales Executive,17.6,53.4,Female,USA,Healthcare,163328.24
45,PhD,Marketing Manager,7.7,27.3,Female,USA,Finance,278596.15
29,PhD,Financial Analyst,8.5,38.7,Female,Germany,Healthcare,206744.96
18,Bachelor's,Sales Executive,0.0,34.8,Female,India,Manufacturing,35104.98
52,Bachelor's,Data Analyst,15.4,45.3,Male,UK,Education,101964.2
18,Master's,Mechanical Engineer,0.0,36.8,Female,India,Technology,71888.62
31,Bachelor's,HR Specialist,6.3,49.6,Female,Germany,Technology,115478.04
36,Master's,Mechanical Engineer,6.8,36.1,Male,UK,Healthcare,151800.42
49,Bachelor's,Customer Support,11.9,40.0,Male,Australia,Manufacturing,119119.39
46,High School,Financial Analyst,16.3,31.0,Female,Australia,Manufacturing,99378.28
34,Bachelor's,Operations Manager,3.8,35.4,Female,USA,Technology,178247.76
44,Bachelor's,Customer Support,7.0,43.4,Female,USA,Healthcare,130606.97
44,Master's,Mechanical Engineer,12.3,39.8,Male,Germany,Education,120195.49
35,High School,Customer Support,8.2,31.6,Other,UK,Technology,92459.6
48,Bachelor's,Product Manager,18.8,27.0,Female,Canada,Retail,129125.49
35,Master's,Mechanical Engineer,8.2,45.9,Female,Canada,Healthcare,183617.97
56,Bachelor's,Mechanical Engineer,19.0,42.1,Female,Australia,Manufacturing,124099.77
39,Master's,Product Manager,11.4,49.7,Female,Australia,Healthcare,197757.27
24,High School,Software Engineer,5.7,27.8,Male,UK,Retail,93408.19
22,Master's,HR Specialist,4.0,37.7,Female,Germany,Healthcare,118770.08
36,PhD,Marketing Manager,6.8,50.9,Male,UK,Education,177090.95
42,PhD,Mechanical Engineer,11.3,42.3,Male,Australia,Finance,206321.31
35,Master's,Operations Manager,4.8,31.2,Female,UK,Healthcare,159518.48
37,Bachelor's,Mechanical Engineer,3.7,43.7,Female,UK,Manufacturing,122217.11
55,Bachelor's,Sales Executive,16.0,31.6,Male,UK,Education,106433.14
46,Master's,Financial Analyst,9.4,33.0,Female,Germany,Retail,120313.02
43,High School,Financial Analyst,13.9,30.4,Male,USA,Technology,170462.11
44,Bachelor's,Sales Executive,12.3,41.1,Female,India,Education,40844.92
37,High School,HR Specialist,8.8,40.9,Male,Germany,Healthcare,99579.64
55,Bachelor's,Operations Manager,24.0,34.3,Female,Germany,Retail,110092.09
31,High School,Mechanical Engineer,3.0,34.2,Male,USA,Healthcare,100547.15
20,Bachelor's,Data Analyst,2.0,46.0,Female,Germany,Education,100914.83
41,Bachelor's,Mechanical Engineer,1.5,40.5,Female,Australia,Healthcare,127846.18
20,Bachelor's,Financial Analyst,2.0,38.6,Female,UK,Retail,126705.13
37,Bachelor's,HR Specialist,14.6,38.8,Female,UK,Finance,162500.65
31,Bachelor's,Marketing Manager,6.5,36.6,Female,Australia,Finance,147700.85
45,High School,HR Specialist,12.9,48.8,Female,UK,Healthcare,115274.71
36,Bachelor's,Customer Support,12.1,31.2,Female,USA,Manufacturing,108207.29
43,PhD,Marketing Manager,11.5,30.9,Male,USA,Technology,296696.07
35,Bachelor's,Sales Executive,5.1,44.5,Female,USA,Retail,100196.61
42,Bachelor's,Financial Analyst,14.4,39.1,Male,Australia,Retail,105384.87
33,High School,Mechanical Engineer,6.3,42.8,Female,Australia,Education,88035.75
18,Bachelor's,Operations Manager,0.0,51.0,Male,India,Retail,45146.7
29,High School,Sales Executive,3.5,51.6,Female,UK,Manufacturing,85440.63
52,Master's,Sales Executive,15.0,50.7,Male,India,Finance,78676.73
48,Bachelor's,Software Engineer,14.0,48.1,Male,India,Technology,73288.51
33,Master's,Product Manager,2.4,46.3,Female,UK,Manufacturing,186799.6
47,High School,Operations Manager,13.6,44.2,Female,USA,Education,108321.51
37,Bachelor's,Customer Support,14.4,50.4,Female,USA,Manufacturing,167195.94
34,Bachelor's,Customer Support,8.0,39.8,Female,Canada,Retail,99088.78
41,Bachelor's,Financial Analyst,11.6,27.0,Male,Australia,Education,115513.29
31,Bachelor's,Marketing Manager,5.8,41.0,Female,Australia,Healthcare,143638.63
41,Bachelor's,Data Analyst,12.7,44.1,Male,USA,Finance,213518.42
50,Bachelor's,Operations Manager,27.0,47.3,Male,Canada,Technology,154984.24
